year,elder_pct,lifeex,death_rate,fertility,infant_mortality
1960,3.314659045,54.701,13.18,6.147,98.1
1961,3.335635496,55.233,12.853,6.151,94.9
1962,3.361659105,55.745,12.534,6.155,91.9
1963,3.389436966,56.231,12.226,6.157,88.8
1964,3.413944784,56.692,11.929,6.151,85.8
1965,3.432808571,57.133,11.639,6.129,82.8
1966,3.454345998,57.565,11.346,6.084,79.9
1967,3.468427045,57.998,11.046,6.009,76.9
1968,3.478214981,58.442,10.733,5.903,74
1969,3.488086613,58.904,10.408,5.764,71
1970,3.500480527,59.385,10.072,5.595,68.1
1971,3.515273365,59.887,9.73,5.397,65.3
1972,3.532281992,60.404,9.39,5.181,62.5
1973,3.549934857,60.929,9.059,4.953,59.9
1974,3.565510636,61.459,8.741,4.721,57.4
1975,3.578161972,61.985,8.443,4.488,55.1
1976,3.618224392,62.495,8.171,4.257,52.9
1977,3.653307002,62.986,7.924,4.03,50.7
1978,3.685180569,63.464,7.698,3.808,48.7
1979,3.71587893,63.935,7.49,3.594,46.8
1980,3.746958911,64.432,7.289,3.392,44.9
1981,3.791194413,64.993,7.08,3.202,43.1
1982,3.834421866,65.635,6.855,3.024,41.3
1983,3.879214231,66.353,6.615,2.859,39.6
1984,3.927999188,67.128,6.367,2.707,37.9
1985,3.983293181,67.911,6.129,2.571,36.3
1986,4.060891247,68.641,5.923,2.451,34.7
1987,4.147323129,69.265,5.77,2.346,33.2
1988,4.247967628,69.745,5.682,2.256,31.7
1989,4.369828256,70.071,5.663,2.179,30.2
1990,4.517915408,70.248,5.707,2.113,28.8
1991,4.684842772,70.3,5.804,2.055,27.4
1992,4.866905914,70.281,5.932,2.003,26.1
1993,5.060803401,70.239,6.071,1.956,24.8
1994,5.262060034,70.202,6.211,1.911,23.7
1995,5.468903787,70.191,6.344,1.867,22.6
1996,5.670085571,70.215,6.465,1.823,21.5
1997,5.873472071,70.267,6.58,1.781,20.5
1998,6.082363782,70.348,6.688,1.742,19.6
1999,6.301000066,70.463,6.788,1.705,18.6
2000,6.531628966,70.623,6.877,1.671,17.7
2001,6.772896528,70.832,6.951,1.641,16.9
2002,7.023443303,71.089,7.012,1.616,16.1
2003,7.276101859,71.389,7.06,1.595,15.4
2004,7.520762386,71.728,7.097,1.58,14.6
2005,7.754134072,72.099,7.123,1.568,13.9
2006,7.975482057,72.499,7.141,1.56,13.3
2007,8.189881709,72.916,7.154,1.554,12.7
2008,8.408154613,73.341,7.164,1.549,12.1
2009,8.641791786,73.766,7.175,1.545,11.5
2010,8.896899336,74.184,7.191,1.542,10.9
2011,9.18986099,74.593,7.213,1.539,10.4
2012,9.502815041,74.992,7.241,1.538,9.9
2013,9.839875894,75.378,7.279,1.538,9.4
2014,10.20536525,75.747,7.327,1.538,9
2015,10.60203135,76.091,7.389,1.538,8.6
2016,11.00605777,76.403,7.467,1.537,8.2
2017,11.43696392,76.683,7.559,1.532,7.8
